"용어","영문명","대분류","소분류","한줄정의","예시","수식","팁","강의주차"
"판별분석","LDA (Linear Discriminant Analysis)","ML","지도학습모델","클래스 간 분산은 크게 클래스 내 분산은 작게 하는 방향으로 데이터를 투영","남성·여성 목소리를 가장 잘 구분하는 방향(축)을 찾아 그 축으로 투영 후 분류","W = S_w⁻¹(μ₁-μ₂) (클래스 내 분산 역행렬 × 클래스 평균 차이)","Naive Bayes와 함께 5주차에 다룸. 클래스 내 공분산이 같다고 가정","5주차"
"SVM","Support Vector Machine","ML","지도학습모델","두 클래스 사이의 마진(간격)을 최대화하는 결정 경계를 찾는 모델. 커널로 비선형 분류 가능","두 클래스를 가장 넓게 가르는 선을 찾는 것. 경계에 가장 가까운 점들이 Support Vector","max 2/||w|| s.t. yᵢ(wᵀxᵢ+b) ≥ 1 / RBF: K(x x')=exp(-γ||x-x'||²)","프로젝트 결과 F1 38.2% — 스케일링 필수. 학습 시간이 가장 오래 걸림(16초)","9주차"
"KNN","K-Nearest Neighbors","ML","지도학습모델","새 데이터와 가장 가까운 K개의 훈련 데이터를 찾아 다수결로 분류","K=5: 주변 5명 중 4명이 암 환자라면 새 환자도 암으로 분류","d(x xᵢ) = √Σ(xⱼ-xᵢⱼ)² (유클리디안 거리)","K가 작으면 과적합 K가 크면 과평활. 스케일링 필수. 프로젝트에서 최적 K=5","11주차"
"의사결정나무","Decision Tree","ML","지도학습모델","피처의 임계값 기준으로 데이터를 재귀적으로 분기. if-then 규칙으로 직관적 해석 가능","ATR > 0.012이면 High 레짐 아니면 MA비율 확인... 형태의 규칙 자동 생성","분기기준: argmax IG(S A) = H(S) - Σ|Sᵥ|/|S| × H(Sᵥ)","깊게 키우면 과적합. 프로젝트에서 max_depth=3이 최적 → F1 50.6%","10주차"
"인공신경망·MLP","Neural Network / MLP","ML","지도학습모델","여러 층의 뉴런을 연결해 비선형 패턴을 자동으로 학습하는 모델","입력(38 피처) → 은닉층1(64) → 은닉층2(32) → 출력(3 클래스). 각 층에서 ReLU 활성화","y = softmax(W₂·ReLU(W₁x+b₁)+b₂)","프로젝트에서 F1 30.3%로 최하위. 금융 데이터의 낮은 S/N ratio에서 복잡성이 오히려 독","11~12주차"
"랜덤포레스트","Random Forest","ML","앙상블","부트스트랩 샘플 + 랜덤 피처 서브셋으로 트리 수백 개 생성 후 다수결","의사결정나무 200그루를 각각 다른 데이터 샘플과 다른 피처로 학습 → 200개 예측을 다수결","f(x) = majority_vote(T₁(x) T₂(x) ... Tₙ(x))","프로젝트 최고 성능: F1 56.3% High 레짐 F1 80.5%. OOB Score 74.9%","10주차"
"배깅·부스팅","Bagging vs Boosting","ML","앙상블","배깅: 여러 모델을 독립적으로 학습 후 평균·다수결. 부스팅: 이전 모델의 실수를 다음 모델이 보완","배깅 = 반장 선거에서 반 전체 투표 / 부스팅 = 틀린 문제를 집중 공부하는 학생","배깅: f(x) = (1/B)Σfᵦ(x) / 부스팅: F(x) = Σ αₘhₘ(x)","랜덤포레스트 = 배깅 기반. XGBoost·LightGBM = 부스팅 기반","10주차"
"그래디언트 부스팅","Gradient Boosting","ML","앙상블","이전 모델의 잔차(오차)를 다음 모델이 학습. 오차를 점점 줄여나가는 방식","1라운드 모델이 실제 5를 3으로 예측 → 잔차 2를 다음 모델이 학습 → 최종 3+2=5","Fₘ(x) = Fₘ₋₁(x) + αhₘ(x) hₘ은 잔차를 학습","XGBoost LightGBM CatBoost가 모두 이 원리의 최적화 버전","10주차"
"XGBoost","eXtreme Gradient Boosting","ML","앙상블","그래디언트 부스팅을 극도로 최적화한 모델. 빠르고 정확하고 정규화 내장","캐글 대회에서 가장 많이 우승한 알고리즘. 표 형태 데이터에서 압도적 성능","Obj = Σ L(yᵢ ŷᵢ) + Σ Ω(fₖ) (손실 + 트리 복잡도 정규화)","수업 범위 밖이지만 실무·포트폴리오용으로 추가 가능. sklearn 호환 API 제공","수업 범위 외"
"LightGBM","Light Gradient Boosting Machine","ML","앙상블","XGBoost보다 더 빠른 부스팅. 대용량 데이터에서 특히 유리. 리프 기반 트리 성장","XGBoost가 층별로 트리를 키우면 LightGBM은 가장 손실을 줄이는 잎부터 키움 → 더 빠름","XGBoost와 동일 원리 구현 방식(GOSS EFB)이 다름","10만 행 이상 데이터에서 XGBoost보다 5~10배 빠른 경우 많음. 금융 데이터에 자주 사용","수업 범위 외"
"혼동행렬","Confusion Matrix","ML","평가·검증","실제 vs 예측 결과를 표로 정리. TP·FP·FN·TN 4가지로 오류 패턴 파악","TP: 암 환자를 암으로 / FP: 정상인을 암으로 / FN: 암 환자를 정상으로 / TN: 정상을 정상으로","Accuracy=(TP+TN)/전체 / Precision=TP/(TP+FP) / Recall=TP/(TP+FN)","FN(암 환자 놓침)이 FP(오경보)보다 훨씬 위험 → Recall을 더 중시. 금융도 동일 논리","5주차"
"F1 Score","F1 Score","ML","평가·검증","Precision(정밀도)과 Recall(재현율)의 조화평균. 둘을 균형 있게 반영","Precision 0.8 Recall 0.6 → F1 = 2×(0.8×0.6)/(0.8+0.6) = 0.686","F1 = 2 × (Precision × Recall) / (Precision + Recall)","이 프로젝트의 핵심 평가 지표. 특히 F1(High 레짐): RF 80.5% Baseline 0%","5주차"
"교차검증","Cross Validation","ML","평가·검증","데이터를 K개로 나눠 K번 반복 학습·검증. 검증 결과의 평균으로 성능 추정","5-Fold CV: 데이터를 5등분 → 4개로 학습 1개로 검증을 5번 반복 → 평균 정확도 계산","CV Score = (1/K) Σ Score(k번째 fold)","시계열 데이터에는 일반 K-Fold CV 사용 금지. 반드시 TimeSeriesSplit 사용","5주차"
"ROC 곡선·AUC","ROC Curve / AUC","ML","평가·검증","임계값을 바꿔가며 TPR(재현율)과 FPR의 관계를 그린 곡선. AUC는 그 면적","AUC = 1.0이면 완벽한 분류. 0.5이면 랜덤과 같음. 이진분류 평가에 특히 유용","AUC = ∫₀¹ TPR(FPR) dFPR","3클래스에서는 One-vs-Rest 방식으로 클래스별 AUC를 각각 계산","5주차"
"Train·Val·Test 분리","Train / Validation / Test Split","ML","평가·검증","Train: 학습용. Validation: 하이퍼파라미터 튜닝용. Test: 최종 성능 평가용(절대 학습에 사용 금지)","이 프로젝트: Train(1983~2018) / Val(2019~2021) / Test(2022~2026)","없음 (설계 원칙)","Test 세트를 학습에 한 번이라도 쓰면 그 결과는 신뢰 불가. 실전에서 성능이 전혀 다름","이 프로젝트 핵심"
"Data Leakage","Data Leakage / Look-ahead Bias","ML","평가·검증","모델 학습 시 미래 정보가 현재 예측에 사용되어 실제보다 성능이 과대평가되는 문제","오늘(t) 예측에 오늘 RSI를 그대로 사용 → 실제로는 장 마감 후에야 RSI 계산 가능","해결: feat[cols] = feat[cols].shift(1) — 모든 피처를 1일 후행 적용","퀀트에서 가장 흔한 실수 중 하나. 백테스트 결과가 좋은데 실전에서 망하는 주요 원인","이 프로젝트 핵심"
"OOB Score","Out-of-Bag Score","ML","평가·검증","Random Forest에서 각 트리가 사용하지 않은 샘플(약 37%)로 자동 검증하는 방법","트리 200개 학습 → 각 샘플에 대해 그 샘플을 쓰지 않은 트리들만으로 예측 → 정확도 계산","부트스트랩 샘플링으로 약 63% 사용 → 나머지 37%가 OOB 샘플","프로젝트에서 OOB Score 74.9% → 별도 검증 세트 없이도 과적합 여부 확인","10주차"
"K-평균 군집분석","K-Means Clustering","ML","비지도학습","K개의 중심점을 설정하고 각 점을 가장 가까운 중심으로 배정 → 중심 재계산을 반복","고객 1만 명을 구매 패턴으로 3그룹으로 나눔 (VIP·일반·이탈위험)","argmin Σₖ Σₓ∈Cₖ ||x - μₖ||²","K값을 미리 정해야 함. 엘보우 방법(Elbow Method)으로 최적 K 선택","13주차"
"PCA","PCA (Principal Component Analysis)","ML","비지도학습","고차원 데이터를 정보 손실을 최소화하면서 저차원으로 압축","38개 피처 → 2~3개의 주성분으로 압축 → 2D로 시각화 가능","Z = XW W: 분산 최대화 방향의 고유벡터","지도학습의 전처리 단계로도 활용. 비지도학습이지만 지도학습에도 유용","비지도학습 관련"
